"","Buena.2","Buena.0","Buena.1","Buena.3","Buena.4","Mala.2","Mala.0","Mala.1","Mala.3","Mala.4","Regular.2","Regular.0","Regular.1","Regular.3","Regular.4"
"1",0.0526315789473684,0,0.105263157894737,0.105263157894737,0,0.0526315789473684,0,0.105263157894737,0.105263157894737,0,0.105263157894737,0.157894736842105,0.157894736842105,0,0.0526315789473684
"2",0.0632321460723093,0.00493421052631579,0.0351562604547219,0.105550273018357,0.0919741609458429,0.125294451468726,0.107518559319113,0.124648947232276,0.0110803324099723,0.00239234449760766,0.111456557931477,0.0318521919788028,0.10730523390857,0.0527960921312722,0.024808238104637
"3",0.0870341996701045,0.00592801369427899,0.0238138998064763,0.102355276075081,0.0532606421313326,0.0839807471633155,0.155070861020538,0.104660083656778,0.00370065899523388,0.00112764718657441,0.118012064576702,0.0283011495614068,0.113349944647149,0.082426377888606,0.0369784339264226
"4",0.0856492947623404,0.0081594562190723,0.0231485320798125,0.0891789288144282,0.061752923905219,0.0837281962469202,0.153653887796292,0.106067060971786,0.00250672629541856,0.00168083790574648,0.122934988677147,0.0329599716468544,0.126909237527158,0.0738545840716982,0.0278153730801074
"5",0.0833730420801054,0.00802962138396941,0.0232543315895819,0.087985911740105,0.0530728290424799,0.0877137458640648,0.156504046323737,0.111543554531022,0.00243668758734868,0.00126433514000488,0.123344798650629,0.0335471837597964,0.125830035617524,0.0750576477021102,0.0270422289875208
"6",0.0802155814806125,0.00781622269500988,0.0225967616571392,0.084119357206595,0.0522289218753795,0.0882350113003415,0.160728898595916,0.112085795810487,0.00244782437785072,0.00122919222670549,0.124272332264782,0.0334771574669162,0.127281609844494,0.0756308671289365,0.0276344660688344
"7",0.0782045014931571,0.00752021076380743,0.0219921062311324,0.083134132417401,0.0521442745847448,0.0882354758272229,0.163080437402928,0.11266329927586,0.00237860649022518,0.00125611209403793,0.124581123029507,0.0334006990737949,0.127654545752914,0.0760093008646867,0.0277451746985802
"8",0.0773574101401096,0.00733167201498348,0.0216626561351345,0.0828663257099261,0.0521258097603078,0.0880814716111393,0.164269861799479,0.112760047843212,0.00231495855064552,0.00126114430448092,0.124812450873271,0.033259886134296,0.128014508216488,0.0762045466942816,0.0276772502122445
"9",0.0770332871990497,0.00725225720063528,0.021518302002976,0.0827612531654211,0.0520724130540137,0.0880164225408718,0.164768190730157,0.112833148100151,0.00228027959317205,0.0012580568278293,0.124934221794858,0.033207273527465,0.12821301193688,0.0762684659092305,0.027583416417289
"10",0.076891024674694,0.00722187067491091,0.0214598436223853,0.0826859195658375,0.0520061605981807,0.0880091564666149,0.164995510405266,0.112885933587559,0.00226508442136589,0.00125379165533132,0.124996965255056,0.0331897997380339,0.128308937332919,0.0762963999795438,0.0275336020223016
"11",0.0768105792681134,0.00720853356325256,0.0214320108886277,0.0826294689697885,0.0519663692952181,0.0880136985461581,0.165115671972754,0.112918683549273,0.0022589309076195,0.00125152736465007,0.125028036912999,0.0331843946589796,0.12835475252974,0.0763118835884571,0.0275154579843686
"12",0.0767620378277669,0.00720099180638563,0.0214163113370781,0.0825966246106404,0.0519482391222374,0.0880162663742053,0.165183667488317,0.112936080781535,0.00225600114617133,0.00125070263565312,0.125043649387022,0.0331814717609233,0.128377166694651,0.0763213748911356,0.0275094141362778
"13",0.0767348783802981,0.00719644104635314,0.021407225703552,0.0825804466169437,0.0519407386505155,0.0880163329869591,0.165221219607458,0.112944349551076,0.00225434856179769,0.00125042791528535,0.125051772284394,0.0331793353311119,0.128388966402491,0.0763268419637406,0.0275066749980234
"14",0.0767209066847066,0.00719389484815294,0.0214022805216806,0.0825729446524423,0.0519373424618754,0.088015797701106,0.165240852007379,0.112948281062097,0.00225339217932126,0.00125030340900106,0.125056075714724,0.033177988925275,0.128395359080872,0.076329675050084,0.0275049057012818
"15",0.0767139977642111,0.00719258500169125,0.0213997516920549,0.0825693190257817,0.0519354956506519,0.0880154603605504,0.165250779766655,0.112950279441023,0.00225287163386111,0.0012502229864219,0.125058345564086,0.0331772739620913,0.12839876757756,0.0763310717311171,0.0275037778422421
"16",0.0767105395806442,0.00719193729039479,0.021398488411114,0.0825674161725178,0.0519344289263949,0.0880153427313663,0.165255802033176,0.112951350969077,0.00225260544126894,0.00125017172010191,0.125059528277775,0.0331769311197908,0.128400540446956,0.0763317646864325,0.0275031521929895
